Entity,Code,Year,Life expectancy
Austria,AUT,1870,34
Austria,AUT,1881,35
Austria,AUT,1891,37
Austria,AUT,1901,42
Austria,AUT,1903,40
Austria,AUT,1911,45
Austria,AUT,1931,56
Austria,AUT,1947,61
Austria,AUT,1948,63
Austria,AUT,1949,63
Austria,AUT,1950,66
Austria,AUT,1951,66
Austria,AUT,1952,66
Austria,AUT,1953,67
Austria,AUT,1954,67
Austria,AUT,1955,67
Austria,AUT,1956,68
Austria,AUT,1957,68
Austria,AUT,1958,68
Austria,AUT,1959,69
Austria,AUT,1960,69
Austria,AUT,1961,69
Austria,AUT,1962,69
Austria,AUT,1963,70
Austria,AUT,1964,70
Austria,AUT,1965,70
Austria,AUT,1966,70
Austria,AUT,1967,70
Austria,AUT,1968,70
Austria,AUT,1969,70
Austria,AUT,1970,70
Austria,AUT,1971,71
Austria,AUT,1972,71
Austria,AUT,1973,71
Austria,AUT,1974,71
Austria,AUT,1975,71
Austria,AUT,1976,72
Austria,AUT,1977,72
Austria,AUT,1978,72
Austria,AUT,1979,72
Austria,AUT,1980,73
Austria,AUT,1981,73
Austria,AUT,1982,73
Austria,AUT,1983,73
Austria,AUT,1984,74
Austria,AUT,1985,74
Austria,AUT,1986,74
Austria,AUT,1987,75
Austria,AUT,1988,75
Austria,AUT,1989,75
Austria,AUT,1990,76
Austria,AUT,1991,76
Austria,AUT,1992,76
Austria,AUT,1993,76
Austria,AUT,1994,77
Austria,AUT,1995,77
Austria,AUT,1996,77
Austria,AUT,1997,77
Austria,AUT,1998,78
Austria,AUT,1999,78
Austria,AUT,2000,78
Austria,AUT,2001,79
Austria,AUT,2002,79
Austria,AUT,2003,79
Austria,AUT,2004,79
Austria,AUT,2005,80
Austria,AUT,2006,80
Austria,AUT,2007,80
Austria,AUT,2008,80
Austria,AUT,2009,80
Austria,AUT,2010,81
Austria,AUT,2011,81
Austria,AUT,2012,81
Austria,AUT,2013,81
Austria,AUT,2014,81
Austria,AUT,2015,81
Austria,AUT,2016,81
Austria,AUT,2017,81
Austria,AUT,2018,81
Austria,AUT,2019,82
Czechia,CZE,1875,35
Czechia,CZE,1900,40
Czechia,CZE,1910,44
Czechia,CZE,1930,56
Czechia,CZE,1937,58
Czechia,CZE,1950,65
Czechia,CZE,1951,66
Czechia,CZE,1952,67
Czechia,CZE,1953,67
Czechia,CZE,1954,68
Czechia,CZE,1955,69
Czechia,CZE,1956,69
Czechia,CZE,1957,69
Czechia,CZE,1958,70
Czechia,CZE,1959,70
Czechia,CZE,1960,70
Czechia,CZE,1961,70
Czechia,CZE,1962,70
Czechia,CZE,1963,70
Czechia,CZE,1964,70
Czechia,CZE,1965,70
Czechia,CZE,1966,70
Czechia,CZE,1967,70
Czechia,CZE,1968,70
Czechia,CZE,1969,70
Czechia,CZE,1970,70
Czechia,CZE,1971,70
Czechia,CZE,1972,70
Czechia,CZE,1973,70
Czechia,CZE,1974,70
Czechia,CZE,1975,70
Czechia,CZE,1976,70
Czechia,CZE,1977,71
Czechia,CZE,1978,71
Czechia,CZE,1979,71
Czechia,CZE,1980,71
Czechia,CZE,1981,71
Czechia,CZE,1982,71
Czechia,CZE,1983,71
Czechia,CZE,1984,71
Czechia,CZE,1985,71
Czechia,CZE,1986,71
Czechia,CZE,1987,71
Czechia,CZE,1988,72
Czechia,CZE,1989,72
Czechia,CZE,1990,72
Czechia,CZE,1991,72
Czechia,CZE,1992,72
Czechia,CZE,1993,73
Czechia,CZE,1994,73
Czechia,CZE,1995,73
Czechia,CZE,1996,74
Czechia,CZE,1997,74
Czechia,CZE,1998,74
Czechia,CZE,1999,75
Czechia,CZE,2000,75
Czechia,CZE,2001,75
Czechia,CZE,2002,75
Czechia,CZE,2003,76
Czechia,CZE,2004,76
Czechia,CZE,2005,76
Czechia,CZE,2006,77
Czechia,CZE,2007,77
Czechia,CZE,2008,77
Czechia,CZE,2009,77
Czechia,CZE,2010,78
Czechia,CZE,2011,78
Czechia,CZE,2012,78
Czechia,CZE,2013,78
Czechia,CZE,2014,78
Czechia,CZE,2015,79
Czechia,CZE,2016,79
Czechia,CZE,2017,79
Czechia,CZE,2018,79
Czechia,CZE,2019,79
Germany,DEU,1875,38
Germany,DEU,1885,39
Germany,DEU,1895,42
Germany,DEU,1905,45
Germany,DEU,1911,49
Germany,DEU,1915,41
Germany,DEU,1925,57
Germany,DEU,1935,62
Germany,DEU,1946,61
Germany,DEU,1950,67
Germany,DEU,1951,67
Germany,DEU,1952,67
Germany,DEU,1953,68
Germany,DEU,1954,68
Germany,DEU,1955,68
Germany,DEU,1956,69
Germany,DEU,1957,69
Germany,DEU,1958,69
Germany,DEU,1959,69
Germany,DEU,1960,69
Germany,DEU,1961,70
Germany,DEU,1962,70
Germany,DEU,1963,70
Germany,DEU,1964,70
Germany,DEU,1965,70
Germany,DEU,1966,70
Germany,DEU,1967,71
Germany,DEU,1968,71
Germany,DEU,1969,71
Germany,DEU,1970,71
Germany,DEU,1971,71
Germany,DEU,1972,71
Germany,DEU,1973,71
Germany,DEU,1974,71
Germany,DEU,1975,72
Germany,DEU,1976,72
Germany,DEU,1977,72
Germany,DEU,1978,72
Germany,DEU,1979,73
Germany,DEU,1980,73
Germany,DEU,1981,73
Germany,DEU,1982,74
Germany,DEU,1983,74
Germany,DEU,1984,74
Germany,DEU,1985,74
Germany,DEU,1986,75
Germany,DEU,1987,75
Germany,DEU,1988,75
Germany,DEU,1989,75
Germany,DEU,1990,75
Germany,DEU,1991,76
Germany,DEU,1992,76
Germany,DEU,1993,76
Germany,DEU,1994,76
Germany,DEU,1995,77
Germany,DEU,1996,77
Germany,DEU,1997,77
Germany,DEU,1998,77
Germany,DEU,1999,78
Germany,DEU,2000,78
Germany,DEU,2001,78
Germany,DEU,2002,79
Germany,DEU,2003,79
Germany,DEU,2004,79
Germany,DEU,2005,79
Germany,DEU,2006,79
Germany,DEU,2007,80
Germany,DEU,2008,80
Germany,DEU,2009,80
Germany,DEU,2010,80
Germany,DEU,2011,80
Germany,DEU,2012,80
Germany,DEU,2013,81
Germany,DEU,2014,81
Germany,DEU,2015,81
Germany,DEU,2016,81
Germany,DEU,2017,81
Germany,DEU,2018,81
Germany,DEU,2019,81
Hungary,HUN,1900,37
Hungary,HUN,1910,40
Hungary,HUN,1920,42
Hungary,HUN,1930,50
Hungary,HUN,1941,57
Hungary,HUN,1949,61
Hungary,HUN,1950,63
Hungary,HUN,1951,63
Hungary,HUN,1952,64
Hungary,HUN,1953,64
Hungary,HUN,1954,65
Hungary,HUN,1955,66
Hungary,HUN,1956,66
Hungary,HUN,1957,67
Hungary,HUN,1958,67
Hungary,HUN,1959,68
Hungary,HUN,1960,68
Hungary,HUN,1961,68
Hungary,HUN,1962,69
Hungary,HUN,1963,69
Hungary,HUN,1964,69
Hungary,HUN,1965,69
Hungary,HUN,1966,69
Hungary,HUN,1967,69
Hungary,HUN,1968,69
Hungary,HUN,1969,69
Hungary,HUN,1970,69
Hungary,HUN,1971,69
Hungary,HUN,1972,69
Hungary,HUN,1973,69
Hungary,HUN,1974,70
Hungary,HUN,1975,70
Hungary,HUN,1976,70
Hungary,HUN,1977,70
Hungary,HUN,1978,69
Hungary,HUN,1979,69
Hungary,HUN,1980,69
Hungary,HUN,1981,69
Hungary,HUN,1982,69
Hungary,HUN,1983,69
Hungary,HUN,1984,69
Hungary,HUN,1985,69
Hungary,HUN,1986,69
Hungary,HUN,1987,69
Hungary,HUN,1988,69
Hungary,HUN,1989,69
Hungary,HUN,1990,69
Hungary,HUN,1991,69
Hungary,HUN,1992,69
Hungary,HUN,1993,70
Hungary,HUN,1994,70
Hungary,HUN,1995,70
Hungary,HUN,1996,70
Hungary,HUN,1997,71
Hungary,HUN,1998,71
Hungary,HUN,1999,71
Hungary,HUN,2000,72
Hungary,HUN,2001,72
Hungary,HUN,2002,72
Hungary,HUN,2003,73
Hungary,HUN,2004,73
Hungary,HUN,2005,73
Hungary,HUN,2006,73
Hungary,HUN,2007,74
Hungary,HUN,2008,74
Hungary,HUN,2009,74
Hungary,HUN,2010,74
Hungary,HUN,2011,75
Hungary,HUN,2012,75
Hungary,HUN,2013,75
Hungary,HUN,2014,76
Hungary,HUN,2015,76
Hungary,HUN,2016,76
Hungary,HUN,2017,76
Hungary,HUN,2018,77
Hungary,HUN,2019,77
Liechtenstein,LIE,1950,66
Liechtenstein,LIE,1951,67
Liechtenstein,LIE,1952,67
Liechtenstein,LIE,1953,68
Liechtenstein,LIE,1954,68
Liechtenstein,LIE,1955,69
Liechtenstein,LIE,1956,69
Liechtenstein,LIE,1957,69
Liechtenstein,LIE,1958,70
Liechtenstein,LIE,1959,70
Liechtenstein,LIE,1960,70
Liechtenstein,LIE,1961,70
Liechtenstein,LIE,1962,71
Liechtenstein,LIE,1963,71
Liechtenstein,LIE,1964,71
Liechtenstein,LIE,1965,71
Liechtenstein,LIE,1966,71
Liechtenstein,LIE,1967,71
Liechtenstein,LIE,1968,71
Liechtenstein,LIE,1969,71
Liechtenstein,LIE,1970,71
Liechtenstein,LIE,1971,71
Liechtenstein,LIE,1972,72
Liechtenstein,LIE,1973,72
Liechtenstein,LIE,1974,72
Liechtenstein,LIE,1975,72
Liechtenstein,LIE,1976,73
Liechtenstein,LIE,1977,73
Liechtenstein,LIE,1978,73
Liechtenstein,LIE,1979,73
Liechtenstein,LIE,1980,74
Liechtenstein,LIE,1981,74
Liechtenstein,LIE,1982,74
Liechtenstein,LIE,1983,74
Liechtenstein,LIE,1984,75
Liechtenstein,LIE,1985,75
Liechtenstein,LIE,1986,75
Liechtenstein,LIE,1987,75
Liechtenstein,LIE,1988,76
Liechtenstein,LIE,1989,76
Liechtenstein,LIE,1990,76
Liechtenstein,LIE,1991,76
Liechtenstein,LIE,1992,76
Liechtenstein,LIE,1993,77
Liechtenstein,LIE,1994,77
Liechtenstein,LIE,1995,77
Liechtenstein,LIE,1996,77
Liechtenstein,LIE,1997,78
Liechtenstein,LIE,1998,78
Liechtenstein,LIE,1999,78
Liechtenstein,LIE,2000,79
Liechtenstein,LIE,2001,79
Liechtenstein,LIE,2002,79
Liechtenstein,LIE,2003,80
Liechtenstein,LIE,2004,80
Liechtenstein,LIE,2005,81
Liechtenstein,LIE,2006,81
Liechtenstein,LIE,2007,81
Liechtenstein,LIE,2008,81
Liechtenstein,LIE,2009,82
Liechtenstein,LIE,2010,82
Liechtenstein,LIE,2011,82
Liechtenstein,LIE,2012,82
Liechtenstein,LIE,2013,82
Liechtenstein,LIE,2014,82
Liechtenstein,LIE,2015,82
Liechtenstein,LIE,2016,82
Liechtenstein,LIE,2017,82
Liechtenstein,LIE,2018,82
Liechtenstein,LIE,2019,82
Poland,POL,1931,50
Poland,POL,1950,59
Poland,POL,1951,60
Poland,POL,1952,61
Poland,POL,1953,62
Poland,POL,1954,63
Poland,POL,1955,64
Poland,POL,1956,65
Poland,POL,1957,66
Poland,POL,1958,66
Poland,POL,1959,67
Poland,POL,1960,67
Poland,POL,1961,68
Poland,POL,1962,68
Poland,POL,1963,69
Poland,POL,1964,69
Poland,POL,1965,69
Poland,POL,1966,69
Poland,POL,1967,70
Poland,POL,1968,70
Poland,POL,1969,70
Poland,POL,1970,70
Poland,POL,1971,70
Poland,POL,1972,70
Poland,POL,1973,70
Poland,POL,1974,70
Poland,POL,1975,70
Poland,POL,1976,70
Poland,POL,1977,70
Poland,POL,1978,70
Poland,POL,1979,70
Poland,POL,1980,71
Poland,POL,1981,71
Poland,POL,1982,71
Poland,POL,1983,71
Poland,POL,1984,71
Poland,POL,1985,71
Poland,POL,1986,71
Poland,POL,1987,71
Poland,POL,1988,71
Poland,POL,1989,71
Poland,POL,1990,71
Poland,POL,1991,71
Poland,POL,1992,71
Poland,POL,1993,71
Poland,POL,1994,72
Poland,POL,1995,72
Poland,POL,1996,72
Poland,POL,1997,73
Poland,POL,1998,73
Poland,POL,1999,73
Poland,POL,2000,74
Poland,POL,2001,74
Poland,POL,2002,74
Poland,POL,2003,75
Poland,POL,2004,75
Poland,POL,2005,75
Poland,POL,2006,75
Poland,POL,2007,76
Poland,POL,2008,76
Poland,POL,2009,76
Poland,POL,2010,76
Poland,POL,2011,77
Poland,POL,2012,77
Poland,POL,2013,77
Poland,POL,2014,78
Poland,POL,2015,78
Poland,POL,2016,78
Poland,POL,2017,78
Poland,POL,2018,79
Poland,POL,2019,79
Slovakia,SVK,1921,44
Slovakia,SVK,1930,50
Slovakia,SVK,1937,53
Slovakia,SVK,1950,62
Slovakia,SVK,1951,63
Slovakia,SVK,1952,64
Slovakia,SVK,1953,65
Slovakia,SVK,1954,66
Slovakia,SVK,1955,67
Slovakia,SVK,1956,68
Slovakia,SVK,1957,68
Slovakia,SVK,1958,69
Slovakia,SVK,1959,70
Slovakia,SVK,1960,70
Slovakia,SVK,1961,70
Slovakia,SVK,1962,71
Slovakia,SVK,1963,71
Slovakia,SVK,1964,71
Slovakia,SVK,1965,71
Slovakia,SVK,1966,71
Slovakia,SVK,1967,70
Slovakia,SVK,1968,70
Slovakia,SVK,1969,70
Slovakia,SVK,1970,70
Slovakia,SVK,1971,70
Slovakia,SVK,1972,70
Slovakia,SVK,1973,70
Slovakia,SVK,1974,70
Slovakia,SVK,1975,70
Slovakia,SVK,1976,70
Slovakia,SVK,1977,70
Slovakia,SVK,1978,70
Slovakia,SVK,1979,71
Slovakia,SVK,1980,71
Slovakia,SVK,1981,71
Slovakia,SVK,1982,71
Slovakia,SVK,1983,71
Slovakia,SVK,1984,71
Slovakia,SVK,1985,71
Slovakia,SVK,1986,71
Slovakia,SVK,1987,71
Slovakia,SVK,1988,71
Slovakia,SVK,1989,71
Slovakia,SVK,1990,71
Slovakia,SVK,1991,71
Slovakia,SVK,1992,72
Slovakia,SVK,1993,72
Slovakia,SVK,1994,72
Slovakia,SVK,1995,72
Slovakia,SVK,1996,72
Slovakia,SVK,1997,73
Slovakia,SVK,1998,73
Slovakia,SVK,1999,73
Slovakia,SVK,2000,73
Slovakia,SVK,2001,73
Slovakia,SVK,2002,74
Slovakia,SVK,2003,74
Slovakia,SVK,2004,74
Slovakia,SVK,2005,74
Slovakia,SVK,2006,74
Slovakia,SVK,2007,75
Slovakia,SVK,2008,75
Slovakia,SVK,2009,75
Slovakia,SVK,2010,75
Slovakia,SVK,2011,76
Slovakia,SVK,2012,76
Slovakia,SVK,2013,76
Slovakia,SVK,2014,77
Slovakia,SVK,2015,77
Slovakia,SVK,2016,77
Slovakia,SVK,2017,77
Slovakia,SVK,2018,77
Slovakia,SVK,2019,78
Slovenia,SVN,1950,64
Slovenia,SVN,1951,65
Slovenia,SVN,1952,65
Slovenia,SVN,1953,66
Slovenia,SVN,1954,66
Slovenia,SVN,1955,67
Slovenia,SVN,1956,67
Slovenia,SVN,1957,68
Slovenia,SVN,1958,68
Slovenia,SVN,1959,68
Slovenia,SVN,1960,69
Slovenia,SVN,1961,69
Slovenia,SVN,1962,69
Slovenia,SVN,1963,69
Slovenia,SVN,1964,69
Slovenia,SVN,1965,69
Slovenia,SVN,1966,69
Slovenia,SVN,1967,69
Slovenia,SVN,1968,69
Slovenia,SVN,1969,69
Slovenia,SVN,1970,69
Slovenia,SVN,1971,70
Slovenia,SVN,1972,70
Slovenia,SVN,1973,70
Slovenia,SVN,1974,70
Slovenia,SVN,1975,70
Slovenia,SVN,1976,71
Slovenia,SVN,1977,71
Slovenia,SVN,1978,71
Slovenia,SVN,1979,71
Slovenia,SVN,1980,71
