Entity,Code,Year,Life expectancy
Africa,,1770,26
Africa,,1925,26
Africa,,1950,36
Africa,,1951,37
Africa,,1952,37
Africa,,1953,38
Africa,,1954,38
Africa,,1955,39
Africa,,1956,39
Africa,,1957,40
Africa,,1958,40
Africa,,1959,41
Africa,,1960,41
Africa,,1961,42
Africa,,1962,42
Africa,,1963,43
Africa,,1964,43
Africa,,1965,44
Africa,,1966,44
Africa,,1967,44
Africa,,1968,45
Africa,,1969,45
Africa,,1970,46
Africa,,1971,46
Africa,,1972,46
Africa,,1973,47
Africa,,1974,47
Africa,,1975,48
Africa,,1976,48
Africa,,1977,49
Africa,,1978,49
Africa,,1979,49
Africa,,1980,50
Africa,,1981,50
Africa,,1982,51
Africa,,1983,51
Africa,,1984,51
Africa,,1985,52
Africa,,1986,52
Africa,,1987,52
Africa,,1988,52
Africa,,1989,52
Africa,,1990,52
Africa,,1991,52
Africa,,1992,52
Africa,,1993,52
Africa,,1994,52
Africa,,1995,52
Africa,,1996,52
Africa,,1997,52
Africa,,1998,52
Africa,,1999,52
Africa,,2000,53
Africa,,2001,53
Africa,,2002,53
Africa,,2003,54
Africa,,2004,54
Africa,,2005,55
Africa,,2006,56
Africa,,2007,56
Africa,,2008,57
Africa,,2009,58
Africa,,2010,59
Africa,,2011,59
Africa,,2012,60
Africa,,2013,61
Africa,,2014,61
Africa,,2015,62
Africa,,2016,62
Africa,,2017,62
Africa,,2018,63
Africa,,2019,63
Asia,,1770,28
Asia,,1880,28
Asia,,1900,28
Asia,,1913,28
Asia,,1950,41
Asia,,1951,41
Asia,,1952,42
Asia,,1953,43
Asia,,1954,43
Asia,,1955,44
Asia,,1956,44
Asia,,1957,44
Asia,,1958,45
Asia,,1959,45
Asia,,1960,45
Asia,,1961,46
Asia,,1962,46
Asia,,1963,47
Asia,,1964,48
Asia,,1965,49
Asia,,1966,51
Asia,,1967,52
Asia,,1968,53
Asia,,1969,54
Asia,,1970,55
Asia,,1971,56
Asia,,1972,56
Asia,,1973,57
Asia,,1974,57
Asia,,1975,58
Asia,,1976,58
Asia,,1977,59
Asia,,1978,59
Asia,,1979,60
Asia,,1980,60
Asia,,1981,61
Asia,,1982,61
Asia,,1983,62
Asia,,1984,62
Asia,,1985,63
Asia,,1986,63
Asia,,1987,63
Asia,,1988,64
Asia,,1989,64
Asia,,1990,64
Asia,,1991,65
Asia,,1992,65
Asia,,1993,65
Asia,,1994,65
Asia,,1995,66
Asia,,1996,66
Asia,,1997,66
Asia,,1998,67
Asia,,1999,67
Asia,,2000,67
Asia,,2001,68
Asia,,2002,68
Asia,,2003,68
Asia,,2004,69
Asia,,2005,69
Asia,,2006,70
Asia,,2007,70
Asia,,2008,70
Asia,,2009,71
Asia,,2010,71
Asia,,2011,71
Asia,,2012,72
Asia,,2013,72
Asia,,2014,72
Asia,,2015,73
Asia,,2016,73
Asia,,2017,73
Asia,,2018,73
Asia,,2019,74
Americas,,1770,35
Americas,,1830,35
Americas,,1850,35
Americas,,1870,35
Americas,,1900,41
Americas,,1913,45
Americas,,1950,59
Americas,,1951,59
Americas,,1952,60
Americas,,1953,60
Americas,,1954,61
Americas,,1955,61
Americas,,1956,61
Americas,,1957,62
Americas,,1958,62
Americas,,1959,62
Americas,,1960,63
Americas,,1961,63
Americas,,1962,63
Americas,,1963,63
Americas,,1964,63
Americas,,1965,64
Americas,,1966,64
Americas,,1967,64
Americas,,1968,64
Americas,,1969,65
Americas,,1970,65
Americas,,1971,65
Americas,,1972,66
Americas,,1973,66
Americas,,1974,66
Americas,,1975,67
Americas,,1976,67
Americas,,1977,67
Americas,,1978,68
Americas,,1979,68
Americas,,1980,68
Americas,,1981,69
Americas,,1982,69
Americas,,1983,69
Americas,,1984,69
Americas,,1985,70
Americas,,1986,70
Americas,,1987,70
Americas,,1988,70
Americas,,1989,71
Americas,,1990,71
Americas,,1991,71
Americas,,1992,71
Americas,,1993,72
Americas,,1994,72
Americas,,1995,72
Americas,,1996,73
