Entity,Code,Year,Life expectancy
Denmark,DNK,1775,33
Denmark,DNK,1835,38
Denmark,DNK,1836,40
Denmark,DNK,1837,41
Denmark,DNK,1838,43
Denmark,DNK,1839,42
Denmark,DNK,1840,41
Denmark,DNK,1841,43
Denmark,DNK,1842,42
Denmark,DNK,1843,44
Denmark,DNK,1844,44
Denmark,DNK,1845,43
Denmark,DNK,1846,40
Denmark,DNK,1847,40
Denmark,DNK,1848,41
Denmark,DNK,1849,40
Denmark,DNK,1850,43
Denmark,DNK,1851,44
Denmark,DNK,1852,43
Denmark,DNK,1853,39
Denmark,DNK,1854,45
Denmark,DNK,1855,46
Denmark,DNK,1856,47
Denmark,DNK,1857,42
Denmark,DNK,1858,40
Denmark,DNK,1859,44
Denmark,DNK,1860,45
Denmark,DNK,1861,48
Denmark,DNK,1862,48
Denmark,DNK,1863,48
Denmark,DNK,1864,40
Denmark,DNK,1865,40
Denmark,DNK,1866,43
Denmark,DNK,1867,45
Denmark,DNK,1868,46
Denmark,DNK,1869,46
Denmark,DNK,1870,46
Denmark,DNK,1871,46
Denmark,DNK,1872,47
Denmark,DNK,1873,47
Denmark,DNK,1874,46
Denmark,DNK,1875,44
Denmark,DNK,1876,46
Denmark,DNK,1877,47
Denmark,DNK,1878,48
Denmark,DNK,1879,46
Denmark,DNK,1880,45
Denmark,DNK,1881,48
Denmark,DNK,1882,47
Denmark,DNK,1883,48
Denmark,DNK,1884,48
Denmark,DNK,1885,50
Denmark,DNK,1886,49
Denmark,DNK,1887,49
Denmark,DNK,1888,47
Denmark,DNK,1889,48
Denmark,DNK,1890,47
Denmark,DNK,1891,47
Denmark,DNK,1892,47
Denmark,DNK,1893,47
Denmark,DNK,1894,49
Denmark,DNK,1895,51
Denmark,DNK,1896,53
Denmark,DNK,1897,52
Denmark,DNK,1898,53
Denmark,DNK,1899,51
Denmark,DNK,1900,52
Denmark,DNK,1901,53
Denmark,DNK,1902,55
Denmark,DNK,1903,55
Denmark,DNK,1904,56
Denmark,DNK,1905,54
Denmark,DNK,1906,56
Denmark,DNK,1907,56
Denmark,DNK,1908,55
Denmark,DNK,1909,57
Denmark,DNK,1910,58
Denmark,DNK,1911,57
Denmark,DNK,1912,58
Denmark,DNK,1913,59
Denmark,DNK,1914,58
Denmark,DNK,1915,58
Denmark,DNK,1916,57
Denmark,DNK,1917,57
Denmark,DNK,1918,56
Denmark,DNK,1919,57
Denmark,DNK,1920,58
Denmark,DNK,1921,62
Denmark,DNK,1922,61
Denmark,DNK,1923,61
Denmark,DNK,1924,61
Denmark,DNK,1925,62
Denmark,DNK,1926,62
Denmark,DNK,1927,61
Denmark,DNK,1928,62
Denmark,DNK,1929,62
Denmark,DNK,1930,62
Denmark,DNK,1931,62
Denmark,DNK,1932,63
Denmark,DNK,1933,64
Denmark,DNK,1934,64
Denmark,DNK,1935,63
Denmark,DNK,1936,63
Denmark,DNK,1937,64
Denmark,DNK,1938,65
Denmark,DNK,1939,66
