Entity,Code,Year,Life expectancy
Albania,ALB,1950,54
Albania,ALB,1951,54
Albania,ALB,1952,55
Albania,ALB,1953,55
Albania,ALB,1954,56
Albania,ALB,1955,57
Albania,ALB,1956,58
Albania,ALB,1957,59
Albania,ALB,1958,60
Albania,ALB,1959,61
Albania,ALB,1960,62
Albania,ALB,1961,63
Albania,ALB,1962,64
Albania,ALB,1963,65
Albania,ALB,1964,65
Albania,ALB,1965,66
Albania,ALB,1966,66
Albania,ALB,1967,66
Albania,ALB,1968,66
Albania,ALB,1969,67
Albania,ALB,1970,67
Albania,ALB,1971,67
Albania,ALB,1972,68
Albania,ALB,1973,68
Albania,ALB,1974,68
Albania,ALB,1975,69
Albania,ALB,1976,69
Albania,ALB,1977,69
Albania,ALB,1978,70
Albania,ALB,1979,70
Albania,ALB,1980,70
Albania,ALB,1981,70
Albania,ALB,1982,71
Albania,ALB,1983,71
Albania,ALB,1984,71
Albania,ALB,1985,71
Albania,ALB,1986,72
Albania,ALB,1987,72
Albania,ALB,1988,72
Albania,ALB,1989,72
Albania,ALB,1990,72
Albania,ALB,1991,72
Albania,ALB,1992,72
Albania,ALB,1993,72
Albania,ALB,1994,72
Albania,ALB,1995,72
Albania,ALB,1996,72
Albania,ALB,1997,73
Albania,ALB,1998,73
Albania,ALB,1999,74
Albania,ALB,2000,74
Albania,ALB,2001,74
Albania,ALB,2002,75
Albania,ALB,2003,75
Albania,ALB,2004,75
Albania,ALB,2005,75
Albania,ALB,2006,75
Albania,ALB,2007,76
Albania,ALB,2008,76
Albania,ALB,2009,76
Albania,ALB,2010,77
Albania,ALB,2011,77
Albania,ALB,2012,77
Albania,ALB,2013,78
Albania,ALB,2014,78
Albania,ALB,2015,78
Albania,ALB,2016,78
Albania,ALB,2017,78
Albania,ALB,2018,78
Albania,ALB,2019,79
Bosnia and Herzegovina,BIH,1950,51
Bosnia and Herzegovina,BIH,1951,52
Bosnia and Herzegovina,BIH,1952,53
Bosnia and Herzegovina,BIH,1953,54
Bosnia and Herzegovina,BIH,1954,55
Bosnia and Herzegovina,BIH,1955,56
Bosnia and Herzegovina,BIH,1956,57
Bosnia and Herzegovina,BIH,1957,58
Bosnia and Herzegovina,BIH,1958,59
Bosnia and Herzegovina,BIH,1959,60
Bosnia and Herzegovina,BIH,1960,60
Bosnia and Herzegovina,BIH,1961,61
Bosnia and Herzegovina,BIH,1962,62
Bosnia and Herzegovina,BIH,1963,62
Bosnia and Herzegovina,BIH,1964,63
Bosnia and Herzegovina,BIH,1965,63
Bosnia and Herzegovina,BIH,1966,64
Bosnia and Herzegovina,BIH,1967,64
Bosnia and Herzegovina,BIH,1968,65
Bosnia and Herzegovina,BIH,1969,66
Bosnia and Herzegovina,BIH,1970,66
Bosnia and Herzegovina,BIH,1971,67
Bosnia and Herzegovina,BIH,1972,67
Bosnia and Herzegovina,BIH,1973,68
Bosnia and Herzegovina,BIH,1974,68
Bosnia and Herzegovina,BIH,1975,69
Bosnia and Herzegovina,BIH,1976,69
Bosnia and Herzegovina,BIH,1977,70
Bosnia and Herzegovina,BIH,1978,70
Bosnia and Herzegovina,BIH,1979,70
Bosnia and Herzegovina,BIH,1980,70
Bosnia and Herzegovina,BIH,1981,71
Bosnia and Herzegovina,BIH,1982,71
Bosnia and Herzegovina,BIH,1983,71
Bosnia and Herzegovina,BIH,1984,71
Bosnia and Herzegovina,BIH,1985,72
Bosnia and Herzegovina,BIH,1986,72
Bosnia and Herzegovina,BIH,1987,72
Bosnia and Herzegovina,BIH,1988,71
Bosnia and Herzegovina,BIH,1989,71
Bosnia and Herzegovina,BIH,1990,71
Bosnia and Herzegovina,BIH,1991,71
Bosnia and Herzegovina,BIH,1992,71
Bosnia and Herzegovina,BIH,1993,71
Bosnia and Herzegovina,BIH,1994,71
Bosnia and Herzegovina,BIH,1995,72
Bosnia and Herzegovina,BIH,1996,72
Bosnia and Herzegovina,BIH,1997,73
Bosnia and Herzegovina,BIH,1998,74
Bosnia and Herzegovina,BIH,1999,74
Bosnia and Herzegovina,BIH,2000,74
Bosnia and Herzegovina,BIH,2001,75
Bosnia and Herzegovina,BIH,2002,75
Bosnia and Herzegovina,BIH,2003,75
Bosnia and Herzegovina,BIH,2004,75
Bosnia and Herzegovina,BIH,2005,75
Bosnia and Herzegovina,BIH,2006,75
Bosnia and Herzegovina,BIH,2007,75
Bosnia and Herzegovina,BIH,2008,76
Bosnia and Herzegovina,BIH,2009,76
Bosnia and Herzegovina,BIH,2010,76
Bosnia and Herzegovina,BIH,2011,76
Bosnia and Herzegovina,BIH,2012,76
Bosnia and Herzegovina,BIH,2013,77
Bosnia and Herzegovina,BIH,2014,77
Bosnia and Herzegovina,BIH,2015,77
Bosnia and Herzegovina,BIH,2016,77
Bosnia and Herzegovina,BIH,2017,77
Bosnia and Herzegovina,BIH,2018,77
Bosnia and Herzegovina,BIH,2019,77
Bulgaria,BGR,1900,40
Bulgaria,BGR,1902,42
Bulgaria,BGR,1905,43
Bulgaria,BGR,1923,45
Bulgaria,BGR,1926,45
Bulgaria,BGR,1930,48
Bulgaria,BGR,1937,52
Bulgaria,BGR,1947,54
Bulgaria,BGR,1948,56
Bulgaria,BGR,1949,58
Bulgaria,BGR,1950,60
Bulgaria,BGR,1951,61
